accession	name	direct_parent	kingdom	super_class	class	sub_class	type	putative
HMDB0000201	L-Acetylcarnitine	Acyl carnitines	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters	sub_class	Fatty acid esters
HMDB0000205	Phenylpyruvic acid	Phenylpyruvic acid derivatives	Organic compounds	Benzenoids	Benzene and substituted derivatives	Phenylpyruvic acid derivatives	sub_class	Phenylpyruvic acid derivatives
HMDB0000208	Oxoglutaric acid	Gamma-keto acids and derivatives	Organic compounds	Organic acids and derivatives	Keto acids and derivatives	Gamma-keto acids and derivatives	sub_class	Gamma-keto acids and derivatives
HMDB0000225	Oxoadipic acid	Medium-chain keto acids and derivatives	Organic compounds	Organic acids and derivatives	Keto acids and derivatives	Medium-chain keto acids and derivatives	sub_class	Medium-chain keto acids and derivatives
HMDB0000243	Pyruvic acid	Alpha-keto acids and derivatives	Organic compounds	Organic acids and derivatives	Keto acids and derivatives	Alpha-keto acids and derivatives	sub_class	Alpha-keto acids and derivatives
HMDB0000244	Riboflavin	Flavins	Organic compounds	Organoheterocyclic compounds	Pteridines and derivatives	Alloxazines and isoalloxazines	sub_class	Alloxazines and isoalloxazines
HMDB0000251	Taurine	Organosulfonic acids	Organic compounds	Organic acids and derivatives	Organic sulfonic acids and derivatives	Organosulfonic acids and derivatives	sub_class	Organosulfonic acids and derivatives
HMDB0000256	Squalene	Triterpenoids	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	sub_class	Triterpenoids
HMDB0000259	Serotonin	Serotonins	Organic compounds	Organoheterocyclic compounds	Indoles and derivatives	Tryptamines and derivatives	sub_class	Tryptamines and derivatives
HMDB0000301	Urocanic acid	Imidazolyl carboxylic acids and derivatives	Organic compounds	Organoheterocyclic compounds	Azoles	Imidazoles	sub_class	Imidazoles
HMDB0000305	Vitamin A	Retinoids	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Retinoids	sub_class	Retinoids
HMDB0000306	Tyramine	Phenethylamines	Organic compounds	Benzenoids	Benzene and substituted derivatives	Phenethylamines	sub_class	Phenethylamines
HMDB0000325	3-Hydroxysuberic acid	Medium-chain hydroxy acids and derivatives	Organic compounds	Organic acids and derivatives	Hydroxy acids and derivatives	Medium-chain hydroxy acids and derivatives	sub_class	Medium-chain hydroxy acids and derivatives
HMDB0000329	2-Phenylbutyric acid	Phenylpropanes	Organic compounds	Benzenoids	Benzene and substituted derivatives	Phenylpropanes	sub_class	Phenylpropanes
HMDB0000349	Erythrono-1,4-lactone	Gamma butyrolactones	Organic compounds	Organoheterocyclic compounds	Lactones	Gamma butyrolactones	sub_class	Gamma butyrolactones
HMDB0000386	3b,16a-Dihydroxyandrostenone sulfate	Sulfated steroids	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Sulfated steroids	sub_class	Sulfated steroids
HMDB0000417	3D,7D,11D-Phytanic acid	Acyclic diterpenoids	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	sub_class	Diterpenoids
HMDB0000419	3b,7a,12a-Trihydroxy-5b-cholanoic acid	1,2-diacylglycerols	Organic compounds	Lipids and lipid-like molecules	Glycerolipids	Diradylglycerols	sub_class	Diradylglycerols
HMDB0000430	24,25-Dihydroxyvitamin D	Vitamin D and derivatives	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Vitamin D and derivatives	sub_class	Vitamin D and derivatives
HMDB0000466	3-Methylindole	3-methylindoles	Organic compounds	Organoheterocyclic compounds	Indoles and derivatives	Indoles	sub_class	Indoles
HMDB0000474	Butanone	Ketones	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds	sub_class	Carbonyl compounds
HMDB0000494	Stigmastanol	Stigmastanes and derivatives	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Stigmastanes and derivatives	sub_class	Stigmastanes and derivatives
HMDB0000534	Campestanol	Ergosterols and derivatives	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Ergostane steroids	sub_class	Ergostane steroids
HMDB0000536	Adenylsuccinic acid	Biphenyls and derivatives	Organic compounds	Benzenoids	Benzene and substituted derivatives	Biphenyls and derivatives	sub_class	Biphenyls and derivatives
HMDB0000561	beta-Carotene	Carotenes	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Tetraterpenoids	sub_class	Tetraterpenoids
HMDB0000572	Desmosine	Tetracarboxylic acids and derivatives	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Tetracarboxylic acids and derivatives	sub_class	Tetracarboxylic acids and derivatives
HMDB0000583	Docosanamide	Fatty amides	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty amides	sub_class	Fatty amides
HMDB0000585	Glucosylgalactosyl hydroxylysine	Fatty acyl glycosides of mono- and disaccharides	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl glycosides	sub_class	Fatty acyl glycosides
HMDB0000610	CE(18:2(9Z,12Z))	Cholesteryl esters	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Steroid esters	sub_class	Steroid esters
HMDB0000673	Linoleic acid	Lineolic acids and derivatives	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Lineolic acids and derivatives	sub_class	Lineolic acids and derivatives
HMDB0000715	Kynurenic acid	Quinoline carboxylic acids	Organic compounds	Organoheterocyclic compounds	Quinolines and derivatives	Quinoline carboxylic acids	sub_class	Quinoline carboxylic acids
HMDB0000954	Ferulic acid	Hydroxycinnamic acids	Organic compounds	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives	sub_class	Hydroxycinnamic acids and derivatives
HMDB0000961	Farnesyl pyrophosphate	Sesquiterpenoids	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids	sub_class	Sesquiterpenoids
HMDB0000977	3-Hexaprenyl-4-hydroxy-5-methoxybenzoic acid	2-polyprenyl-6-methoxyphenols	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Polyprenylphenols	sub_class	Polyprenylphenols
HMDB0000995	16-Dehydroprogesterone	20-oxosteroids	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Oxosteroids	sub_class	Oxosteroids
HMDB0001021	Malyl-CoA	(R)-3-hydroxyacyl CoAs	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters	sub_class	Fatty acyl thioesters
HMDB0001060	Ubiquinol 8	Polyprenyl quinols	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Quinone and hydroquinone lipids	sub_class	Quinone and hydroquinone lipids
HMDB0001085	Leukotriene B4	Leukotrienes	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids	sub_class	Eicosanoids
HMDB0001169	4-Aminophenol	Aniline and substituted anilines	Organic compounds	Benzenoids	Benzene and substituted derivatives	Aniline and substituted anilines	sub_class	Aniline and substituted anilines
HMDB0001183	Octanol	Fatty alcohols	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty alcohols	sub_class	Fatty alcohols
HMDB0001186	N1-Acetylspermine	Acetamides	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acid derivatives	sub_class	Carboxylic acid derivatives
HMDB0001212	Hydantoin-5-propionic acid	Hydantoins	Organic compounds	Organoheterocyclic compounds	Azolidines	Imidazolidines	sub_class	Imidazolidines
HMDB0001219	Chlordecone alcohol	Monoterpenoids	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Monoterpenoids	sub_class	Monoterpenoids
HMDB0001232	4-Nitrophenol	Nitrophenols	Organic compounds	Benzenoids	Phenols	Nitrophenols	sub_class	Nitrophenols
HMDB0001431	Pyridoxamine	Pyridoxamine 5'-phosphates	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	Pyridoxamines	sub_class	Pyridoxamines
HMDB0001469	Undecaprenyl diphosphate	Bactoprenol diphosphates	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Polyprenols	sub_class	Polyprenols
HMDB0001518	alpha-CEHC	1-benzopyrans	Organic compounds	Organoheterocyclic compounds	Benzopyrans	1-benzopyrans	sub_class	1-benzopyrans
HMDB0001551	Palmitaldehyde	Fatty aldehydes	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty aldehydes	sub_class	Fatty aldehydes
HMDB0001850	Verapamil	Phenylbutylamines	Organic compounds	Benzenoids	Benzene and substituted derivatives	Phenylbutylamines	sub_class	Phenylbutylamines
HMDB0001917	Digoxin	Cardenolide glycosides and derivatives	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Steroid lactones	sub_class	Steroid lactones
HMDB0001919	Famotidine	2,4-disubstituted thiazoles	Organic compounds	Organoheterocyclic compounds	Azoles	Thiazoles	sub_class	Thiazoles
HMDB0001924	Atenolol	Phenylacetamides	Organic compounds	Benzenoids	Benzene and substituted derivatives	Phenylacetamides	sub_class	Phenylacetamides
HMDB0001927	Diphenhydramine	Diphenylmethanes	Organic compounds	Benzenoids	Benzene and substituted derivatives	Diphenylmethanes	sub_class	Diphenylmethanes
HMDB0001937	Salbutamol	Benzyl alcohols	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzyl alcohols	sub_class	Benzyl alcohols
HMDB0001941	Brompheniramine	Pheniramines	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	Pheniramines	sub_class	Pheniramines
HMDB0001978	5-Hydroxypyrazinamide	Pyrazinecarboxamides	Organic compounds	Organoheterocyclic compounds	Diazines	Pyrazines	sub_class	Pyrazines
HMDB0002072	4-Methoxyphenylacetic acid	Anisoles	Organic compounds	Benzenoids	Phenol ethers	Anisoles	sub_class	Anisoles
HMDB0002114	Bisdemethoxycurcumin	Curcuminoids	Organic compounds	Phenylpropanoids and polyketides	Diarylheptanoids	Linear diarylheptanoids	sub_class	Linear diarylheptanoids
HMDB0002121	Carnosol	Diterpene lactones	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Terpene lactones	sub_class	Terpene lactones
HMDB0002124	Apigenin	Flavones	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	Flavones	sub_class	Flavones
HMDB0002222	3-Methylphenylacetic acid	Toluenes	Organic compounds	Benzenoids	Benzene and substituted derivatives	Toluenes	sub_class	Toluenes
HMDB0002338	Biochanin A	4'-O-methylisoflavones	Organic compounds	Phenylpropanoids and polyketides	Isoflavonoids	O-methylated isoflavonoids	sub_class	O-methylated isoflavonoids
HMDB0002430	(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid	Steroid glucuronide conjugates	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Steroidal glycosides	sub_class	Steroidal glycosides
HMDB0002927	Naringin	Flavonoid-7-O-glycosides	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	sub_class	Flavonoid glycosides
HMDB0002937	Tamarixetin	4'-O-methylated flavonoids	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	O-methylated flavonoids	sub_class	O-methylated flavonoids
HMDB0003141	Retinoyl b-glucuronide	Diterpene glycosides	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Terpene glycosides	sub_class	Terpene glycosides
HMDB0004072	4-Hydroxystyrene	Styrenes	Organic compounds	Benzenoids	Benzene and substituted derivatives	Styrenes	sub_class	Styrenes
HMDB0004077	4,6-Dihydroxyquinoline	Hydroxyquinolones	Organic compounds	Organoheterocyclic compounds	Quinolines and derivatives	Quinolones and derivatives	sub_class	Quinolones and derivatives
HMDB0004186	3-Methyldioxyindole	Indolines	Organic compounds	Organoheterocyclic compounds	Indoles and derivatives	Indolines	sub_class	Indolines
HMDB0004811	2,4-Dichlorophenol	Dichlorobenzenes	Organic compounds	Benzenoids	Benzene and substituted derivatives	Halobenzenes	sub_class	Halobenzenes
HMDB0004889	Ganglioside GA2 (d18:1/9Z-18:1)	Phosphatidylinositols	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoinositols	sub_class	Glycerophosphoinositols
HMDB0005033	Valdecoxib	Benzenesulfonamides	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzenesulfonamides	sub_class	Benzenesulfonamides
HMDB0005042	Aripiprazole	Phenylpiperazines	Organic compounds	Organoheterocyclic compounds	Diazinanes	Piperazines	sub_class	Piperazines
HMDB0006552	Aflatoxin B1	Difurocoumarocyclopentenones	Organic compounds	Phenylpropanoids and polyketides	Coumarins and derivatives	Furanocoumarins	sub_class	Furanocoumarins
HMDB0006790	Galactosylglycerol	Glycosylglycerols	Organic compounds	Lipids and lipid-like molecules	Glycerolipids	Glycosylglycerols	sub_class	Glycosylglycerols
HMDB0006820	2-Hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone	Sesterterpenoids	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Sesterterpenoids	sub_class	Sesterterpenoids
HMDB0009922	PIP(16:0/22:4(10Z,13Z,16Z,19Z))	Glycerophosphoinositol phosphates	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoinositol phosphates	sub_class	Glycerophosphoinositol phosphates
HMDB0011153	MG(P-18:0/0:0/0:0)	Glycerol vinyl ethers	Organic compounds	Lipids and lipid-like molecules	Glycerolipids	Glycerol vinyl ethers	sub_class	Glycerol vinyl ethers
HMDB0011725	5-Sulfosalicylic acid	3-sulfobenzoic acids	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzenesulfonic acids and derivatives	sub_class	Benzenesulfonic acids and derivatives
HMDB0012488	1,2,3,4-Tetrahydro-beta-carboline	Beta carbolines	Organic compounds	Organoheterocyclic compounds	Indoles and derivatives	Pyridoindoles	sub_class	Pyridoindoles
HMDB0013636	Pyrroloquinoline quinone	Pyrroloquinoline quinones	Organic compounds	Organoheterocyclic compounds	Quinolines and derivatives	Pyrroloquinolines	sub_class	Pyrroloquinolines
HMDB0013806	1,3-Diisopropylbenzene	Cumenes	Organic compounds	Benzenoids	Benzene and substituted derivatives	Cumenes	sub_class	Cumenes
HMDB0013862	N-desmethylimatinib	Benzanilides	Organic compounds	Benzenoids	Benzene and substituted derivatives	Anilides	sub_class	Anilides
HMDB0013870	cis,trans-5'-Hydroxythalidomide	Phthalimides	Organic compounds	Organoheterocyclic compounds	Isoindoles and derivatives	Isoindolines	sub_class	Isoindolines
HMDB0013938	Promazine 5-sulfoxide	Phenothiazines	Organic compounds	Organoheterocyclic compounds	Benzothiazines	Phenothiazines	sub_class	Phenothiazines
HMDB0014023	para-Trifluoromethylphenol	Trifluoromethylbenzenes	Organic compounds	Benzenoids	Benzene and substituted derivatives	Trifluoromethylbenzenes	sub_class	Trifluoromethylbenzenes
HMDB0014421	Amsacrine	Acridines	Organic compounds	Organoheterocyclic compounds	Quinolines and derivatives	Benzoquinolines	sub_class	Benzoquinolines
HMDB0014426	Lidocaine	m-Xylenes	Organic compounds	Benzenoids	Benzene and substituted derivatives	Xylenes	sub_class	Xylenes
HMDB0014480	Nitrofurazone	Nitrofurans	Organic compounds	Organoheterocyclic compounds	Furans	Nitrofurans	sub_class	Nitrofurans
HMDB0014500	Chlorzoxazone	Benzoxazolones	Organic compounds	Organoheterocyclic compounds	Benzoxazoles	Benzoxazolones	sub_class	Benzoxazolones
HMDB0014713	Fenoprofen	Diphenylethers	Organic compounds	Benzenoids	Benzene and substituted derivatives	Diphenylethers	sub_class	Diphenylethers
HMDB0014746	Chloroquine	4-aminoquinolines	Organic compounds	Organoheterocyclic compounds	Quinolines and derivatives	Aminoquinolines and derivatives	sub_class	Aminoquinolines and derivatives
HMDB0014812	Galantamine	Galanthamine-type amaryllidaceae alkaloids	Organic compounds	Alkaloids and derivatives	Amaryllidaceae alkaloids	Galanthamine-type amaryllidaceae alkaloids	sub_class	Galanthamine-type amaryllidaceae alkaloids
HMDB0014847	Lamivudine	3'-thia pyrimidine nucleosides	Organic compounds	Nucleosides, nucleotides, and analogues	Nucleoside and nucleotide analogues	3'-thia pyrimidine nucleosides	sub_class	3'-thia pyrimidine nucleosides
HMDB0014906	Olopatadine	Dibenzoxepines	Organic compounds	Organoheterocyclic compounds	Benzoxepines	Dibenzoxepines	sub_class	Dibenzoxepines
HMDB0015037	Didanosine	Purine 2',3'-dideoxyribonucleosides	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleosides	Purine 2',3'-dideoxyribonucleosides	sub_class	Purine 2',3'-dideoxyribonucleosides
HMDB0015061	Phenoxybenzamine	Phenylmethylamines	Organic compounds	Benzenoids	Benzene and substituted derivatives	Phenylmethylamines	sub_class	Phenylmethylamines
HMDB0015126	Oxaprozin	Phenyl-1,3-oxazoles	Organic compounds	Organoheterocyclic compounds	Azoles	Oxazoles	sub_class	Oxazoles
HMDB0015182	Abacavir	1,3-substituted cyclopentyl purine nucleosides	Organic compounds	Nucleosides, nucleotides, and analogues	Nucleoside and nucleotide analogues	Cyclopentyl nucleosides	sub_class	Cyclopentyl nucleosides
HMDB0015213	Diphenoxylate	Diphenylacetonitriles	Organic compounds	Benzenoids	Benzene and substituted derivatives	Diphenylacetonitriles	sub_class	Diphenylacetonitriles
HMDB0015222	Pentolinium	N-alkylpyrrolidines	Organic compounds	Organoheterocyclic compounds	Pyrrolidines	N-alkylpyrrolidines	sub_class	N-alkylpyrrolidines
HMDB0029203	hesperetin-7-O-glucuronide	Phenylbenzo-1,4-dioxanes	Organic compounds	Organoheterocyclic compounds	Benzodioxanes	Phenylbenzodioxanes	sub_class	Phenylbenzodioxanes
HMDB0029319	1-Methoxyphaseollidin	Pterocarpans	Organic compounds	Phenylpropanoids and polyketides	Isoflavonoids	Furanoisoflavonoids	sub_class	Furanoisoflavonoids
HMDB0029350	Geranyl 3-methylbutanoate	Fatty alcohol esters	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty alcohol esters	sub_class	Fatty alcohol esters
HMDB0029535	Grevilline A	Dihydropyranones	Organic compounds	Organoheterocyclic compounds	Pyrans	Pyranones and derivatives	sub_class	Pyranones and derivatives
HMDB0029641	p-Mentha-1,3,5,8-tetraene	Phenylpropenes	Organic compounds	Benzenoids	Benzene and substituted derivatives	Phenylpropenes	sub_class	Phenylpropenes
HMDB0029853	1,2-Epoxy-1,2,7,7',8,8',11,12-octahydro-psi,psi-carotene	Sesquaterpenoids	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Sesquaterpenoids	sub_class	Sesquaterpenoids
HMDB0030063	Benzyl propionate	Benzyloxycarbonyls	Organic compounds	Benzenoids	Benzene and substituted derivatives	Benzyloxycarbonyls	sub_class	Benzyloxycarbonyls
HMDB0030181	Erythratine	Erythrinanes	Organic compounds	Alkaloids and derivatives	Erythrina alkaloids	Erythrinanes	sub_class	Erythrinanes
HMDB0030506	Cycloeucalanone	Cycloartanols and derivatives	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Cycloartanols and derivatives	sub_class	Cycloartanols and derivatives
HMDB0030564	trans-Piceid	Stilbene glycosides	Organic compounds	Phenylpropanoids and polyketides	Stilbenes	Stilbene glycosides	sub_class	Stilbene glycosides
HMDB0030643	Blighinone	Hydrophenanthrenes	Organic compounds	Benzenoids	Phenanthrenes and derivatives	Hydrophenanthrenes	sub_class	Hydrophenanthrenes
HMDB0030756	13alpha-Hydroxydolineone	Rotenones	Organic compounds	Phenylpropanoids and polyketides	Isoflavonoids	Rotenoids	sub_class	Rotenoids
HMDB0031317	Bis(methylthio)methane	Dithioacetals	Organic compounds	Organosulfur compounds	Thioacetals	Dithioacetals	sub_class	Dithioacetals
HMDB0031647	Acrylic acid	Acrylic acids	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Acrylic acids and derivatives	sub_class	Acrylic acids and derivatives
HMDB0033481	Baptifoline	Anagyrine-type alkaloids	Organic compounds	Alkaloids and derivatives	Lupin alkaloids	Anagyrine-type alkaloids	sub_class	Anagyrine-type alkaloids
HMDB0034695	Cucurbitacin D	Cucurbitacins	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Cucurbitacins	sub_class	Cucurbitacins
HMDB0036774	Sebiferic acid	Steroid acids	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Steroid acids	sub_class	Steroid acids
HMDB0036937	1-O-Caffeoylglucose	Monosaccharides	Organic compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	sub_class	Monosaccharides
HMDB0037295	3-[(2-Mercapto-1-methylpropyl)thio]-2-butanol	Secondary alcohols	Organic compounds	Organooxygen compounds	Alcohols and polyols	Secondary alcohols	sub_class	Secondary alcohols
HMDB0037809	Hexahydro-2',3alpha-dimethylspiro[1,3-dithiolo[4,5-b]furan-2,3'(2'H)-furan]	Monothioketals	Organic compounds	Organosulfur compounds	Thioacetals	Monothioacetals	sub_class	Monothioacetals
HMDB0039613	3,3',4,4'-Tetrahydroxy-5,5'-diisopropyl-2,2'-dimethylbiphenyl	Biphenols	Organic compounds	Benzenoids	Benzene and substituted derivatives	Biphenols	sub_class	Biphenols
HMDB0039844	(E,E)-2,6-Octadienal	Medium-chain aldehydes	Organic compounds	Organooxygen compounds	Carbonyl compounds	Aldehydes	sub_class	Aldehydes
HMDB0040888	2,4-Heptadecanedione	Beta-diketones	Organic compounds	Organooxygen compounds	Carbonyl compounds	1,3-dicarbonyl compounds	sub_class	1,3-dicarbonyl compounds
HMDB0060850	N,N,O-Tridesmethyltramadol	Cyclohexylphenols	Organic compounds	Benzenoids	Benzene and substituted derivatives	Cyclohexylphenols	sub_class	Cyclohexylphenols
HMDB0129366	3-(2H-1,3-benzodioxol-5-yl)-3-hydroxy-1-(4-methoxy-1-benzofuran-5-yl)propan-1-one	Butyrophenones	Organic compounds	Benzenoids	Benzene and substituted derivatives	Butyrophenones	sub_class	Butyrophenones
HMDB00000021	1,3-Diaminopropane	Monoalkylamines	Organic compounds	Organic nitrogen compounds	Organonitrogen compounds	Amines	class	Organonitrogen compounds
HMDB00000051	2-Ketobutyric acid	Short-chain keto acids and derivatives	Organic compounds	Organic acids and derivatives	Keto acids and derivatives	Short-chain keto acids and derivatives	class	Keto acids and derivatives
HMDB0000008	2-Hydroxybutyric acid	Alpha hydroxy acids and derivatives	Organic compounds	Organic acids and derivatives	Hydroxy acids and derivatives	Alpha hydroxy acids and derivatives	class	Hydroxy acids and derivatives
HMDB0000012	Deoxyuridine	Pyrimidine 2'-deoxyribonucleosides	Organic compounds	Nucleosides, nucleotides, and analogues	Pyrimidine nucleosides	Pyrimidine 2'-deoxyribonucleosides	class	Pyrimidine nucleosides
HMDB00000171	4-Pyridoxic acid	Pyridinecarboxylic acids	Organic compounds	Organoheterocyclic compounds	Pyridines and derivatives	Pyridinecarboxylic acids and derivatives	class	Pyridines and derivatives
HMDB00000201	p-Hydroxyphenylacetic acid	1-hydroxy-2-unsubstituted benzenoids	Organic compounds	Benzenoids	Phenols	1-hydroxy-2-unsubstituted benzenoids	class	Phenols
